item_seq,name,display_name,maker,category,form,package_unit,otc_flag,base_price
,타이레놀정500밀리그람,타이레놀 500mg,한국얀센,해열진통,정제,8정,true,2800
,타이레놀정500밀리그람,타이레놀 500mg,한국얀센,해열진통,정제,16정,true,4500
,타이레놀정500밀리그람,타이레놀 500mg,한국얀센,해열진통,정제,20정,true,5500
,게보린정,게보린,삼진제약,해열진통,정제,10정,true,3000
,이지엔6프로연질캡슐,이지엔6프로,대웅제약,해열진통,캡슐,8캡슐,true,4500
,아스피린프로텍트정100밀리그람,아스피린프로텍트 100mg,바이엘코리아,해열진통,정제,30정,true,5000
,챔프이부프로펜시럽,챔프이부프로펜,대웅제약,해열진통,시럽,100ml,true,5500
,부루펜시럽,부루펜,삼일제약,해열진통,시럽,100ml,true,4500
,챔프시럽,챔프시럽,대웅제약,해열진통,시럽,100ml,true,5000
,베아제정,베아제,대웅제약,소화제,정제,30정,true,6500
,훼스탈플러스정,훼스탈플러스,한독,소화제,정제,30정,true,6000
,정로환에프정,정로환에프,동성제약,소화제,정제,100정,true,5500
,개비스콘더블액션현탁액,개비스콘더블액션,옥시레킷벤키저,소화제,현탁액,20ml×6포,true,7000
,까스활명수큐액,까스활명수큐,동화약품,소화제,액제,75ml×3병,true,3000
,닥터베아제정,닥터베아제,대웅제약,소화제,정제,30정,true,7500
,판콜에스내복액,판콜에스,동화약품,감기약,내복액,30ml×3병,true,3500
,판콜에이내복액,판콜에이,동화약품,감기약,내복액,30ml×3병,true,3500
,판피린티정,판피린티,동아제약,감기약,정제,10정,true,4000
,콜대원키즈시럽,콜대원키즈,대원제약,감기약,시럽,90ml,true,6000
,화이투벤씨노즈업연질캡슐,화이투벤씨,삼일제약,감기약,캡슐,12캡슐,true,4500
,타이레놀콜드에스정,타이레놀콜드에스,한국얀센,감기약,정제,10정,true,4000
,후시딘연고,후시딘,동화약품,연고,연고,10g,true,4000
,마데카솔케어연고,마데카솔케어,동국제약,연고,연고,10g,true,5500
,제일쿨파프,제일쿨파프,제일헬스사이언스,연고,파프제,10매,true,3500
,안티푸라민,안티푸라민,유한양행,연고,연고,40g,true,4500
,오라메디연고,오라메디,동국제약,연고,연고,5g,true,4500
,포비돈요오드액,포비돈요오드액 10%,대한약품,소독약,액제,100ml,true,3000
,과산화수소액,과산화수소 3%,대한약품,소독약,액제,100ml,true,1500
,소독용에탄올,소독용에탄올,대한약품,소독약,액제,500ml,true,3500
,삐콤씨정,삐콤씨,유한양행,비타민,정제,100정,true,12000
,아로나민골드정,아로나민골드,일양약품,비타민,정제,100정,true,15000
,센트룸실버여성용정,센트룸실버여성용,한국오가논,비타민,정제,100정,true,20000
,임팩타민파워정,임팩타민파워,대웅제약,비타민,정제,90정,true,18000
,신신파스아렉스,신신파스아렉스,신신제약,기타,파프제,10매,true,3000
,인공눈물0.5%점안액,히알루론산나트륨 점안액 0.5%,한미약품,기타,점안액,0.5ml×30개,true,8000
,알보칠농축액,알보칠,다케다제약,기타,액제,10ml,true,6000
